Полученное решение: 

Node: (x: 0,00000000000000e+00,y: 0,00000000000000e+00, type:firstBoundary) , value:  0,00000000000000e+00
Node: (x: 6,00000000000000e+00,y: 5,25000000000000e+00, type:thirdBoundary) , value:  6,39641954246180e+01
Node: (x: 0,00000000000000e+00,y: 6,00000000000000e+00, type:firstBoundary) , value:  3,60000000000000e+01
Node: (x: 7,50000000000000e-01,y: 6,00000000000000e+00, type:firstBoundary) , value:  3,65625000000000e+01
Node: (x: 1,50000000000000e+00,y: 6,00000000000000e+00, type:firstBoundary) , value:  3,82500000000000e+01
Node: (x: 2,25000000000000e+00,y: 6,00000000000000e+00, type:firstBoundary) , value:  4,10625000000000e+01
Node: (x: 3,00000000000000e+00,y: 6,00000000000000e+00, type:firstBoundary) , value:  4,50000000000000e+01
Node: (x: 3,75000000000000e+00,y: 6,00000000000000e+00, type:firstBoundary) , value:  5,00625000000000e+01
Node: (x: 4,50000000000000e+00,y: 6,00000000000000e+00, type:firstBoundary) , value:  5,62500000000000e+01
Node: (x: 5,25000000000000e+00,y: 6,00000000000000e+00, type:firstBoundary) , value:  6,35625000000000e+01
Node: (x: 6,00000000000000e+00,y: 6,00000000000000e+00, type:thirdBoundary) , value:  7,23214285714286e+01
